study_id,core_id,sample_id,depth_min,depth_max,c14_age,c14_age_se,c14_material,age,dry_bulk_density,fraction_organic_matter,fraction_carbon,method_id,site_id
Drexler_et_al_2009,TT,NA,350,352,NA,NA,NA,NA,0.371356536,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,352,354,NA,NA,NA,NA,0.39143676,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,354,356,NA,NA,NA,NA,0.416948938,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,356,358,NA,NA,NA,NA,0.32614132,0.288,0.131818,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,358,360,NA,NA,NA,NA,0.416329121,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,360,362,NA,NA,NA,NA,0.358919659,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,362,364,NA,NA,NA,NA,0.253068991,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,364,366,NA,NA,NA,NA,0.254647909,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,366,368,NA,NA,NA,NA,0.327254641,0.26,0.11639,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,368,370,NA,NA,NA,NA,0.328317356,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,370,372,NA,NA,NA,NA,0.227146423,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,372,374,NA,NA,NA,NA,0.195979028,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,374,376,NA,NA,NA,NA,0.174565184,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,376,378,NA,NA,NA,NA,0.257426805,0.264,0.118594,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,378,380,NA,NA,NA,NA,0.243532326,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,380,382,NA,NA,NA,NA,0.243342855,0.32,0.14945,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,382,384,NA,NA,NA,NA,0.335172731,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,384,386,NA,NA,NA,NA,0.298289205,0.24,0.10537,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,386,388,NA,NA,NA,NA,0.251967405,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,388,390,NA,NA,NA,NA,0.237133778,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,390,392,NA,NA,NA,NA,0.207631356,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,402,404,NA,NA,NA,NA,0.330629658,0.312,0.145042,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,404,406,NA,NA,NA,NA,0.342785987,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,406,408,NA,NA,NA,NA,0.30924938,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,408,410,NA,NA,NA,NA,0.233191465,0.348,0.164878,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,410,412,NA,NA,NA,NA,0.248399604,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,412,414,NA,NA,NA,NA,0.320175439,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,414,416,NA,NA,NA,NA,0.329775887,0.244,0.107574,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,416,418,NA,NA,NA,NA,0.521637306,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,418,420,NA,NA,NA,NA,0.42695524,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,420,422,NA,NA,NA,NA,0.412089726,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,422,424,NA,NA,NA,NA,0.406692837,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,TTC3D5-13A,422.00000000000006,424,2315,35,Achenes,2338,NA,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,424,426,NA,NA,NA,NA,0.541451613,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,426,428,NA,NA,NA,NA,0.643961263,0.144,0.052474,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,428,430,NA,NA,NA,NA,0.80044326,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,430,432,NA,NA,NA,NA,0.877102891,0.088,0.021618,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,432,434,NA,NA,NA,NA,0.956229944,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,434,436,NA,NA,NA,NA,0.832451768,0.092,0.023822,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,436,438,NA,NA,NA,NA,0.731809586,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,438,440,NA,NA,NA,NA,0.545931484,0.208,0.087738,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,440,442,NA,NA,NA,NA,0.747826131,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,442,444,NA,NA,NA,NA,0.951340871,0.092,0.023822,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,444,446,NA,NA,NA,NA,0.88155923,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,446,448,NA,NA,NA,NA,0.955725433,0.084,0.019414,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,448,450,NA,NA,NA,NA,0.773333868,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,450,452,NA,NA,NA,NA,0.773121662,0.116,0.037046,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,452,454,NA,NA,NA,NA,0.602295356,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,454,456,NA,NA,NA,NA,0.438701691,0.232,0.100962,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,456,458,NA,NA,NA,NA,0.710286122,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,458,460,NA,NA,NA,NA,0.684592007,0.132,0.045862,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,460,462,NA,NA,NA,NA,0.757735555,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,462,464,NA,NA,NA,NA,0.838328312,0.1,0.02823,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,464,466,NA,NA,NA,NA,0.698606434,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,466,468,NA,NA,NA,NA,0.765276962,0.116,0.037046,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,468,470,NA,NA,NA,NA,0.765270018,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,470,472,NA,NA,NA,NA,0.731228544,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,472,474,NA,NA,NA,NA,0.766154212,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,474,476,NA,NA,NA,NA,0.592962687,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,476,478,NA,NA,NA,NA,0.664195577,0.14,0.05027,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,478,480,NA,NA,NA,NA,0.650748264,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,480,482,NA,NA,NA,NA,1.008094182,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,482,484,NA,NA,NA,NA,0.893017257,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,484,486,NA,NA,NA,NA,0.908438161,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,486,488,NA,NA,NA,NA,0.951988752,0.054,0.002884,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,488,490,NA,NA,NA,NA,0.769767875,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,490,492,NA,NA,NA,NA,0.859725017,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,492,494,NA,NA,NA,NA,0.739320843,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,500,502,NA,NA,NA,NA,0.672688235,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,502,504,NA,NA,NA,NA,0.682104843,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,504,506,NA,NA,NA,NA,0.637795776,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,506,508,NA,NA,NA,NA,0.648268069,0.132,0.045862,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,508,510,NA,NA,NA,NA,0.631314608,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,510,512,NA,NA,NA,NA,0.677100486,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,512,514,NA,NA,NA,NA,0.639445349,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,514,516,NA,NA,NA,NA,0.584537886,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,516,518,NA,NA,NA,NA,0.61601993,0.144,0.052474,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,518,520,NA,NA,NA,NA,0.637861407,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,520,522,NA,NA,NA,NA,0.728444273,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,522,524,NA,NA,NA,NA,0.743236471,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,524,526,NA,NA,NA,NA,0.610209278,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,526,528,NA,NA,NA,NA,0.661588646,0.12,0.03925,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,528,530,NA,NA,NA,NA,0.626009443,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,530,532,NA,NA,NA,NA,0.669027409,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,532,534,NA,NA,NA,NA,0.644635184,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,534,536,NA,NA,NA,NA,0.670757354,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,536,538,NA,NA,NA,NA,0.638427026,0.124,0.041454,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,538,540,NA,NA,NA,NA,0.611345729,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,540,542,NA,NA,NA,NA,0.598217614,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,542,544,NA,NA,NA,NA,0.654464418,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,544,546,NA,NA,NA,NA,0.64457752,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,546,548,NA,NA,NA,NA,0.653727439,0.136,0.048066,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,548,550,NA,NA,NA,NA,0.666410313,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,550,552,NA,NA,NA,NA,0.664471887,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,552,554,NA,NA,NA,NA,0.680387382,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,554,556,NA,NA,NA,NA,0.732112738,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,556,558,NA,NA,NA,NA,0.624012875,0.148,0.054678,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,558,560,NA,NA,NA,NA,0.568223078,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,560,562,NA,NA,NA,NA,0.613784498,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,562,564,NA,NA,NA,NA,0.648787052,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,564,566,NA,NA,NA,NA,0.568702004,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,566,568,NA,NA,NA,NA,0.573783043,0.152,0.056882,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,568,570,NA,NA,NA,NA,0.597763375,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,570,572,NA,NA,NA,NA,0.722894664,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,572,574,NA,NA,NA,NA,0.639507409,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,574,576,NA,NA,NA,NA,0.560472745,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,576,578,NA,NA,NA,NA,0.523003573,0.172,0.067902,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,578,580,NA,NA,NA,NA,0.572129145,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,580,582,NA,NA,NA,NA,0.624932496,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,582,584,NA,NA,NA,NA,0.643040382,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,584,586,NA,NA,NA,NA,0.630572434,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,586,588,NA,NA,NA,NA,0.647674514,0.14,0.05027,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,600,602,NA,NA,NA,NA,0.676874841,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,602,604,NA,NA,NA,NA,0.641676822,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,604,606,NA,NA,NA,NA,0.609526863,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,606,608,NA,NA,NA,NA,0.615175818,0.136,0.048066,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,608,610,NA,NA,NA,NA,0.622729886,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,610,612,NA,NA,NA,NA,0.652093593,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,612,614,NA,NA,NA,NA,0.638923801,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,614,616,NA,NA,NA,NA,0.637012131,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,616,618,NA,NA,NA,NA,0.658763069,0.144,0.052474,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,618,620,NA,NA,NA,NA,0.633910752,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,620,622,NA,NA,NA,NA,0.669069124,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,622,624,NA,NA,NA,NA,0.657761909,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,624,626,NA,NA,NA,NA,0.689268993,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,626,628,NA,NA,NA,NA,0.723171943,0.14,0.05027,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,628,630,NA,NA,NA,NA,0.708235855,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,630,632,NA,NA,NA,NA,0.66167666,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,632,634,NA,NA,NA,NA,0.730379151,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,634,636,NA,NA,NA,NA,0.695576003,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,636,638,NA,NA,NA,NA,0.686544165,0.136,0.048066,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,638,640,NA,NA,NA,NA,0.698679148,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,640,642,NA,NA,NA,NA,0.612746531,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,642,644,NA,NA,NA,NA,0.749188737,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,644,646,NA,NA,NA,NA,0.663808742,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,646,648,NA,NA,NA,NA,0.689339847,0.124,0.041454,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,648,650,NA,NA,NA,NA,0.742108786,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,650,652,NA,NA,NA,NA,0.737474341,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,652,654,NA,NA,NA,NA,0.74673016,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,654,656,NA,NA,NA,NA,0.752091763,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,656,658,NA,NA,NA,NA,0.789735858,0.108,0.032638,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,658,660,NA,NA,NA,NA,0.703047208,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,660,662,NA,NA,NA,NA,0.741707185,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,662,664,NA,NA,NA,NA,0.718116133,NA,NA,single set of methods,Time of Mandeval Tip
Drexler_et_al_2009,TT,NA,664,666,NA,NA,NA,NA,0.747803072,NA,NA,single set of methods,Time of Mandeval Tip
