"[ID, identification; cm, centimeter; N, number of times a single sample was run;  _m, micron; %, percent; _, phi particle size scale, mm; millimeters; g, gram; QA, quality assurance; QC, quality control;  T, QA guidelines were not met by the lab, if no concentration is reported, then the QC problem was judged to be severve enough to invalidate the results, if a concentration is reported it is to be used with discretion; D, there was insufficient material for analysis; 0, passed QA/QC inspection; nem, not enough material]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMPLE ID,DEPTH (cm),"SEDIMENT TEXTURE (Folk, 1954)",NUMBER OF RUNS (N),"MEAN GRAIN SIZE  (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SORTING (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","SKEWNESS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","KURTOSIS (Folk and Ward, µm)","STANDARD DEVIATION (Folk and Ward, µm)","MEAN GRAIN SIZE  (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SORTING (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","SKEWNESS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","KURTOSIS (Folk and Ward, _)","STANDARD DEVIATION (Folk and Ward, _)","MEAN GRAIN SIZE (Folk and Ward, Descriptive)","SORTING (Folk and Ward, Descriptive)","SKEWNESS (Folk and Ward, Descriptive)","KURTOSIS (Folk and Ward, Descriptive)","D10  (µm)",STANDARD DEVIATION D10 (µm),"D50  (µm)",STANDARD DEVIATION D50  (µm),"D90  (µm)",STANDARD DEVIATION D90  (µm),% SAND,STANDARD DEVIATION (%),% MUD,STANDARD DEVIATION (%),% VERY COARSE SAND,% COARSE SAND,% MEDIUM SAND,% FINE SAND,% VERY FINE SAND,% VERY COARSE SILT,% COARSE SILT,% MEDIUM SILT,% FINE SILT,% VERY FINE SILT,% CLAY,Coarse Flag > 1mm (g),QA/QC Flag,
15BIM09-DA349G,Surface Sample,Sandy Mud,N=8,12.69,0.27,6.825,0.137,-0.043,0.006,0.661,0.011,6.301,0.031,2.771,0.029,0.043,0.006,0.661,0.011,Medium Silt,Very Poorly Sorted,Symmetrical,Very Platykurtic,0.98,0.02,13.16,0.42,137.20,4.44,29.8%,1.1%,70.2%,1.1%,0.0%,0.2%,0.9%,11.4%,17.3%,8.9%,8.9%,10.4%,11.6%,9.5%,20.9%,0.000,0,
15BIM09-DA350G,Surface Sample,Sand,N=8,294.94,1.60,1.691,0.004,-0.039,0.003,0.934,0.005,1.762,0.008,0.758,0.003,0.039,0.003,0.934,0.005,Medium Sand,Moderately Sorted,Symmetrical,Mesokurtic,150.09,0.46,295.73,1.77,567.17,4.78,96.9%,0.0%,3.1%,0.0%,0.1%,16.1%,45.1%,33.1%,2.6%,0.6%,0.4%,0.4%,0.4%,0.4%,0.9%,0.000,0,
15BIM09-DA351G,Surface Sample,Sand,N=8,237.81,2.83,2.248,0.095,-0.123,0.028,1.661,0.142,2.072,0.017,1.167,0.061,0.123,0.028,1.661,0.142,Fine Sand,Poorly Sorted,Fine Skewed,Very Leptokurtic,109.24,2.75,224.19,2.13,522.41,6.27,93.7%,0.4%,6.3%,0.4%,0.0%,11.6%,31.1%,43.8%,7.2%,0.9%,0.7%,0.8%,1.0%,0.9%,2.0%,0.123,0,
15BIM09-DA352G,Surface Sample,Muddy Sand,N=8,146.56,0.44,2.632,0.023,-0.443,0.007,3.202,0.012,2.770,0.004,1.396,0.012,0.443,0.007,3.202,0.012,Fine Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,18.19,1.02,156.48,0.65,266.70,0.92,86.8%,0.2%,13.2%,0.2%,0.0%,0.9%,12.0%,56.1%,17.8%,2.1%,1.6%,1.8%,2.1%,1.8%,4.0%,0.000,0,
15BIM09-DA353G,Surface Sample,Muddy Sand,N=8,57.31,9.71,6.105,0.614,-0.693,0.002,1.337,0.471,4.146,0.247,2.603,0.146,0.693,0.002,1.337,0.471,Very Coarse Silt,Very Poorly Sorted,Very Fine Skewed,Leptokurtic,2.31,0.57,137.05,10.48,276.94,11.07,70.1%,4.6%,29.9%,4.6%,0.0%,1.2%,12.5%,41.7%,14.7%,3.4%,3.5%,4.2%,4.8%,4.7%,9.3%,0.013,0,
15BIM09-DA354G,Surface Sample,Sandy Mud,N=8,10.18,1.56,5.331,0.316,-0.090,0.002,0.830,0.010,6.635,0.222,2.412,0.086,0.090,0.002,0.830,0.010,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.05,0.05,11.54,1.60,85.56,16.65,14.9%,3.7%,85.1%,3.7%,0.0%,0.0%,0.0%,4.8%,10.0%,13.0%,15.3%,14.2%,12.9%,10.3%,19.4%,0.000,0,
15BIM09-DA355G,Surface Sample,Sandy Mud,N=8,8.91,0.66,5.576,0.157,-0.013,0.008,0.795,0.007,6.815,0.107,2.479,0.041,0.013,0.008,0.795,0.007,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.97,0.02,9.32,0.68,85.86,6.09,14.64%,1.5%,85.4%,1.5%,0.0%,0.0%,0.2%,5.0%,9.4%,11.5%,13.7%,13.5%,13.1%,11.1%,22.4%,0.000,0,
15BIM09-DA356G,Surface Sample,Sandy Mud,N=8,9.80,0.18,5.934,0.107,0.011,0.023,0.824,0.015,6.673,0.026,2.569,0.026,-0.011,0.023,0.824,0.015,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.99,0.01,9.92,0.28,106.57,5.97,16.8%,0.9%,83.2%,0.9%,0.0%,0.4%,0.8%,6.9%,8.7%,11.5%,13.3%,13.0%,13.4%,11.1%,21.0%,0.000,0,
15BIM09-DA357GfrDA356,Surface Sample,Sandy Mud,N=8,8.52,0.28,5.444,0.102,-0.015,0.017,0.853,0.006,6.876,0.046,2.444,0.027,0.015,0.017,0.853,0.006,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.97,0.02,9.19,0.16,85.01,6.46,13.1%,0.9%,86.9%,0.9%,0.0%,0.3%,0.6%,5.3%,6.9%,11.5%,14.7%,14.0%,13.7%,11.3%,21.7%,0.000,0,
15BIM09-DA358G,Surface Sample,Sandy Mud,N=8,11.80,1.11,6.405,0.346,-0.015,0.011,0.847,0.004,6.411,0.136,2.677,0.078,0.015,0.011,0.847,0.004,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.05,0.02,12.30,0.81,143.28,20.43,19.5%,2.0%,80.5%,2.0%,0.0%,0.5%,2.6%,8.7%,7.7%,12.4%,13.7%,12.3%,12.4%,10.2%,19.4%,0.000,0,
15BIM09-DA359G,Surface Sample,Sandy Mud,N=8,10.32,1.10,5.515,0.278,-0.091,0.008,0.815,0.010,6.606,0.154,2.462,0.073,0.091,0.008,0.815,0.010,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.04,0.03,11.93,1.41,89.67,14.91,15.3%,2.7%,84.7%,2.7%,0.0%,0.3%,0.5%,5.1%,9.3%,15.1%,14.3%,12.8%,12.6%,10.2%,19.6%,0.000,0,
15BIM09-DA360G,Surface Sample,Mud,N=8,7.22,0.05,4.472,0.042,-0.097,0.010,0.820,0.008,7.114,0.010,2.161,0.014,0.097,0.010,0.820,0.008,Fine Silt,Very Poorly Sorted,Symmetrical,Platykurtic,0.96,0.00,8.23,0.08,44.50,0.72,5.7%,0.3%,94.3%,0.3%,0.0%,0.0%,0.3%,1.3%,4.2%,12.1%,17.2%,16.2%,14.9%,11.7%,22.2%,0.000,0,
15BIM09-DA361G,Surface Sample,Sandy Mud,N=8,11.43,0.62,5.101,0.020,-0.202,0.004,0.805,0.007,6.453,0.078,2.351,0.006,0.202,0.004,0.805,0.007,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.12,0.05,14.65,0.75,77.93,2.72,14.7%,1.0%,85.3%,1.0%,0.0%,0.0%,0.0%,3.3%,11.4%,18.5%,15.4%,12.9%,11.6%,9.2%,17.7%,0.000,0,
15BIM09-DA362G,Surface Sample,Mud/Sandy Mud,N=8,8.89,0.79,5.047,0.201,-0.123,0.014,0.796,0.018,6.820,0.128,2.334,0.058,0.123,0.014,0.796,0.018,Medium Silt,Very Poorly Sorted,Fine Skewed,Platykurtic,1.00,0.02,10.73,1.22,67.50,11.38,10.8%,2.2%,89.2%,2.2%,0.0%,0.0%,0.0%,3.2%,7.6%,14.7%,16.9%,13.4%,12.4%,10.6%,21.3%,0.000,0,
15BIM09-DA363G,Surface Sample,Muddy Sand,N=8,87.32,24.52,4.552,1.083,-0.723,0.041,2.159,1.129,3.577,0.416,2.144,0.350,0.723,0.041,2.159,1.129,Very Fine Sand,Poorly Sorted,Very Fine Skewed,Very Leptokurtic,5.34,2.47,163.13,5.36,268.03,4.84,75.8%,5.8%,24.2%,5.8%,0.1%,1.5%,12.0%,53.9%,8.2%,3.1%,3.7%,3.8%,4.1%,3.4%,6.1%,0.000,0,
15BIM09-DA364GfrDA379 & DA380,Surface Sample,Mud/Sandy Mud,N=8,9.92,1.60,5.110,0.316,-0.070,0.017,0.822,0.013,6.674,0.235,2.351,0.089,0.070,0.017,0.822,0.013,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.09,0.06,10.98,2.03,76.71,17.60,13.1%,3.9%,86.9%,3.9%,0.0%,0.2%,0.7%,3.7%,8.6%,15.5%,14.4%,13.0%,14.1%,11.2%,18.7%,0.000,0,
15BIM09-DA365G,Surface Sample,Muddy Sand,N=7,386.63,7.15,2.941,0.064,-0.557,0.019,3.304,0.036,1.371,0.027,1.556,0.031,0.557,0.019,3.304,0.036,Medium Sand,Poorly Sorted,Very Fine Skewed,Extremely Leptokurtic,37.66,6.92,446.08,1.35,731.66,8.74,88.91%,0.6%,11.1%,0.6%,0.8%,38.0%,41.8%,6.6%,1.6%,1.6%,1.7%,1.6%,1.7%,1.5%,3.0%,0.033,0,
15BIM09-DA366GfrDA365,Surface Sample,Sand,N=8,465.85,2.95,1.776,0.212,-0.300,0.083,2.185,0.635,1.102,0.009,0.819,0.173,0.300,0.083,2.185,0.635,Medium Sand,Moderately Sorted,Fine Skewed,Very Leptokurtic,264.06,12.56,473.63,0.95,728.79,3.01,94.9%,0.8%,5.1%,0.8%,0.6%,43.1%,47.3%,3.3%,0.6%,0.7%,0.7%,0.7%,0.8%,0.7%,1.4%,0.083,0,
15BIM09-DA367S,Surface Sample,Sand,N=6,365.25,1.21,1.348,0.001,0.008,0.002,0.969,0.002,1.453,0.005,0.431,0.001,-0.008,0.002,0.969,0.002,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,248.49,0.62,364.69,1.22,537.88,2.53,100.0%,0.0%,0.0%,0.0%,0.0%,15.1%,74.5%,10.1%,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA368S,Surface Sample,Sand,N=6,357.54,0.35,1.339,0.001,0.029,0.003,0.961,0.003,1.484,0.001,0.421,0.001,-0.029,0.003,0.961,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,246.88,0.04,356.06,0.40,523.89,1.20,100.0%,0.0%,0.0%,0.0%,0.0%,13.2%,75.8%,11.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA369S,Surface Sample,Sand,N=6,384.46,0.53,1.355,0.002,0.026,0.003,0.969,0.003,1.379,0.002,0.438,0.002,-0.026,0.003,0.969,0.003,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,261.45,0.26,383.09,0.44,571.82,2.06,100.0%,0.0%,0.0%,0.0%,0.0%,19.9%,72.7%,7.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA370S,Surface Sample,Sand,N=6,390.75,2.68,1.411,0.002,-0.076,0.004,1.022,0.006,1.356,0.010,0.497,0.002,0.076,0.004,1.022,0.006,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,247.30,1.48,394.94,2.84,596.04,4.18,98.9%,0.1%,1.1%,0.1%,0.0%,23.8%,65.7%,9.1%,0.4%,0.2%,0.1%,0.1%,0.1%,0.2%,0.4%,0.000,0,
15BIM09-DA375S,Surface Sample,Sand,N=8,395.36,1.16,1.39,0.00,-0.03,0.01,1.00,0.01,1.34,0.00,0.48,0.00,0.03,0.01,1.00,0.01,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,256.86,1.29,396.43,1.10,601.48,1.99,99.6%,0.2%,0.4%,0.2%,0.0%,24.1%,67.2%,7.8%,0.4%,0.1%,0.0%,0.0%,0.0%,0.1%,0.2%,0.000,0,
15BIM09-DA376S,Surface Sample,Sand,N=8,352.48,0.32,1.41,0.00,-0.08,0.00,1.03,0.00,1.50,0.00,0.49,0.00,0.08,0.00,1.03,0.00,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,224.29,0.12,356.06,0.27,534.64,1.24,99.8%,0.0%,0.2%,0.0%,0.0%,14.5%,69.7%,14.9%,0.7%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA377G,Surface Sample,Sand,N=8,362.24,0.52,1.395,0.003,0.033,0.004,0.990,0.006,1.465,0.002,0.480,0.003,-0.033,0.004,0.990,0.006,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,238.10,0.15,360.23,0.41,560.52,2.40,100.0%,0.0%,0.0%,0.0%,0.1%,17.0%,69.9%,12.8%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA378S,Surface Sample,Sand,N=8,427.32,0.61,1.29,0.00,-0.01,0.00,0.96,0.00,1.23,0.00,0.37,0.00,0.01,0.00,0.96,0.00,Medium Sand,Well Sorted,Symmetrical,Mesokurtic,305.98,0.90,427.45,0.56,595.24,0.83,100.0%,0.0%,0.0%,0.0%,0.0%,27.8%,70.7%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.000,0,
15BIM09-DA379GfrDA380,Surface Sample,Mud,N=7,8.04,0.23,4.818,0.072,-0.049,0.010,0.801,0.011,6.959,0.041,2.268,0.022,0.049,0.010,0.801,0.011,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.00,0.00,8.67,0.34,57.62,2.83,8.9%,0.6%,91.1%,0.6%,0.0%,0.0%,0.1%,2.3%,6.5%,14.3%,15.0%,13.9%,14.7%,12.0%,21.2%,0.000,0,
15BIM09-DA380G,Surface Sample,Mud/Sandy Mud,N=8,8.20,0.46,4.931,0.115,-0.050,0.008,0.807,0.006,6.932,0.081,2.302,0.034,0.050,0.008,0.807,0.006,Medium Silt,Very Poorly Sorted,Symmetrical,Platykurtic,1.00,0.02,8.92,0.61,61.86,5.94,9.8%,1.3%,90.2%,1.3%,0.0%,0.2%,0.3%,2.6%,6.8%,13.9%,15.2%,13.8%,14.3%,11.8%,21.3%,0.000,0,
*G = PONAR or miniSEABOSS Grab sample; S = Land Surface Sample; frDAXXX =  field replicate of site specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
